Player;Tm;Salary
Ivica Zubac;LAC;$1544951
Rodney McGruder;LAC;$1544951
Wade Baldwin;IND;$1544951
Quinn Cook;GSW;$1544951
Chinanu Onuaku;DAL;$1544951
Dorian Finney-Smith;DAL;$1544951
Willy Hernangomez;CHO;$1544951
Timothe Luwawu-Cabarrot;CHI;$1544951
Wayne Selden;CHI;$1544951
Georges Niang;UTA;$1512601
Christian Wood;NOP;$1512601
Derrick Jones;MIA;$1512601
David Nwaba;CLE;$1512601
Treveon Graham;BRK;$1512601
Sviatoslav Mykhailiuk;DET;$1487694
Mitchell Robinson;NYK;$1485440
Jordan Bell;GSW;$1378252
Frank Jackson;NOP;$1378242
Thomas Bryant;WAS;$1378242
Royce O'Neale;UTA;$1378242
Frank Mason;SAC;$1378242
Davon Reed;PHO;$1378242
Wesley Iwundu;ORL;$1378242
Khem Birch;ORL;$1378242
Abdel Nader;OKC;$1378242
Damyean Dotson;NYK;$1378242
Sterling Brown;MIL;$1378242
Rade Zagorac;MEM;$1378242
Dillon Brooks;MEM;$1378242
Tyler Dorsey;MEM;$1378242
Ivan Rabb;MEM;$1378242
Jawun Evans;LAC;$1378242
Sindarius Thornwell;LAC;$1378242
Ike Anigbogu;IND;$1378242
Maxi Kleber;DAL;$1378242
Dwayne Bacon;CHO;$1378242
Daniel Theis;BOS;$1378242
Semi Ojeleye;BOS;$1378242
Kevin Martin;MIN;$1360304
Monte Morris;DEN;$1349383
Antonio Blakeney;CHI;$1349383
Tyrone Wallace;LAC;$1349383
Alfonzo McKinnie;GSW;$1349383
Ryan Arcidiacono;CHI;$1349383
Jabari Bird;ATL;$1349383
Daniel Hamilton;ATL;$1349383
Shaquille Harrison;CHI;$1311265
Elie Okobo;PHO;$1238464
Jalen Brunson;DAL;$1230000
Michael Carter-Williams;CHI;$1200000
Austin Rivers;HOU;$1155323
Melvin Frazier;ORL;$1050000
Isaac Bonga;LAL;$1000000
Justin Hamilton;TOR;$1000000
Shelvin Mack;ORL;$1000000
Kyle Singler;OKC;$999200
Devonte' Graham;CHO;$988464
Isaiah Taylor;CLE;$950000
De'Anthony Melton;PHO;$949000
Jason Thompson;GSW;$945126
Kenneth Faried;HOU;$917272
Chasson Randle;WAS;$869094
Gary Trent;POR;$838464
Hamidou Diallo;OKC;$838464
Keita Bates-Diop;MIN;$838464
Jevon Carter;MEM;$838464
Bruce Brown;DET;$838464
Jarred Vanderbilt;DEN;$838464
Khyri Thomas;DET;$838464
Chimezie Metu;SAS;$838464
Isaiah Briscoe;ORL;$838464
Kenrich Williams;NOP;$838464
Alize Johnson;IND;$838464
Isaiah Hartenstein;HOU;$838464
Ray Spalding;DAL;$838464
Ryan Broekhoff;DAL;$838464
Brad Wanamaker;BOS;$838464
Martell Webster;WAS;$833333
Lorenzo Brown;TOR;$800000
Patrick McCaw;TOR;$786000
Wesley Matthews;IND;$737715
Jeremy Lin;TOR;$697000
