ime;ekipa;stevilo_tekem;zacetna_postava;minutaza;stevilo_zadetih_metov_iz_igre;stevilo_metov_iz_igre;stevilo_zadetih_trojk;stevilo_trojk;stevilo_zadetih_prostih_metov;stevilo_prostih_metov;skoki_v_napadu;skoki_v_obrambi;podaje;ukradene_zoge;blokade;izgubljene_zoge;osebne_napake;tocke;Placa.placa
Devin Harris;DAL;68;2;1071;132;347;62;200;102;134;12;100;122;35;16;56;133;428;$2393887
Devin Robinson;WAS;7;0;95;19;32;0;2;9;14;6;14;6;4;6;2;11;47;
Devonte' Graham;CHO;46;3;676;74;216;34;121;35;46;10;53;121;23;2;30;48;217;$988464
Dewayne Dedmon;ATL;64;52;1609;259;526;83;217;92;113;105;375;90;69;71;84;214;693;$7200000
Deyonta Davis;ATL;9;0;118;15;22;0;1;6;10;10;26;5;3;5;3;12;36;$170916
Dillon Brooks;MEM;18;0;330;49;122;15;40;22;30;9;22;16;10;4;19;50;135;$1378242
Dion Waiters;MIA;44;28;1138;198;478;109;289;22;44;7;109;121;29;9;64;72;527;$11550000
Dirk Nowitzki;DAL;51;20;795;135;376;64;205;39;50;5;153;35;9;18;18;76;373;$5000000
Domantas Sabonis;IND;74;5;1838;413;700;9;17;208;291;186;504;212;48;30;160;239;1043;$2659800
Donatas Motiejunas;SAS;3;0;13;3;6;0;0;0;2;2;1;1;0;1;3;6;6;$59820
Donovan Mitchell;UTA;77;77;2598;661;1530;188;519;319;396;59;257;322;106;31;218;208;1829;$3111480
Donte DiVincenzo;MIL;27;0;411;50;124;22;83;9;12;16;49;31;13;6;19;38;131;$2481000
Donte Grantham;OKC;3;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;
Dorian Finney-Smith;DAL;81;26;1985;228;528;79;254;73;103;138;251;95;69;36;74;186;608;$1544951
Doug McDermott;IND;77;1;1340;207;422;84;206;66;79;17;92;67;18;8;42;104;564;$7333334
Dragan Bender;PHO;46;27;826;88;197;22;101;32;54;34;149;56;18;22;37;90;230;$4661280
Draymond Green;GSW;66;66;2065;188;422;47;165;63;91;60;421;454;95;70;169;197;486;$17469565
Drew Eubanks;SAS;23;0;113;15;26;0;0;11;13;6;28;7;2;5;8;11;41;
Duncan Robinson;MIA;15;1;161;18;46;10;35;4;6;2;17;5;5;0;4;11;50;
Dusty Hannahs;MEM;2;0;26;3;12;0;5;2;2;0;1;5;1;0;1;1;8;$47371
Dwayne Bacon;CHO;43;13;759;122;257;38;87;34;46;8;81;47;12;5;18;72;316;$1378242
Dwight Howard;WAS;9;9;230;43;69;0;0;29;48;24;59;4;7;4;16;34;115;$5337000
Dwight Powell;DAL;77;22;1662;290;486;39;127;196;254;140;271;112;44;50;67;201;815;$9631250
Dwyane Wade;MIA;72;2;1885;416;960;86;261;165;233;69;216;301;59;38;166;118;1083;$2393887
Dzanan Musa;BRK;9;0;39;9;22;1;10;0;2;1;4;2;2;0;4;1;19;$1632240
Ed Davis;BRK;81;1;1446;186;302;0;2;100;162;216;478;61;35;33;64;226;472;$4449000
Edmond Sumner;IND;23;2;210;22;64;7;27;15;24;9;15;10;12;5;10;26;66;$449794
Ekpe Udoh;UTA;51;1;320;50;72;0;0;19;30;27;63;28;10;31;13;36;119;$3360000
Elfrid Payton;NOP;42;42;1250;179;412;33;105;55;74;49;171;320;44;17;112;81;446;$3000000
Elie Okobo;PHO;53;16;958;114;290;39;132;37;47;12;86;127;32;7;69;109;304;$1238464
Emanuel Terry;TOT;3;0;23;4;7;0;0;2;4;3;4;2;3;0;2;4;10;
Emanuel Terry;PHO;2;0;20;4;6;0;0;1;2;2;4;1;3;0;2;4;9;$47371
Emanuel Terry;MIA;1;0;3;0;1;0;0;1;2;1;0;1;0;0;0;0;1;$47371
Emmanuel Mudiay;NYK;59;42;1607;330;740;69;210;144;186;33;163;228;43;19;140;103;873;$4294480
Enes Kanter;NYK;44;23;1128;251;468;7;22;105;129;171;290;84;18;17;79;106;614;$18622514
Enes Kanter;TOT;67;31;1640;375;683;10;34;155;197;257;402;116;32;26;118;167;915;
Enes Kanter;POR;23;8;512;124;215;3;12;50;68;86;112;32;14;9;39;61;301;$653556
Eric Bledsoe;MIL;78;78;2272;470;971;124;377;177;236;82;280;430;116;29;165;156;1241;$15000000
Eric Gordon;HOU;68;53;2158;384;938;216;600;119;152;17;131;129;41;27;90;143;1103;$13500375
Eric Moreland;TOT;5;0;43;3;7;1;1;0;0;4;16;4;1;1;5;9;7;
Eric Moreland;PHO;1;0;5;0;0;0;0;0;0;0;3;0;0;0;0;1;0;$239035
Eric Moreland;TOR;4;0;38;3;7;1;1;0;0;4;13;4;1;1;5;8;7;$88531
Ersan Ilyasova;MIL;67;7;1231;167;381;58;160;61;74;94;208;52;32;20;48;172;453;$7000000
E'Twaun Moore;NOP;53;36;1463;256;532;76;176;45;59;35;92;102;40;8;59;112;633;$8808685
Evan Fournier;ORL;81;81;2553;468;1069;153;450;137;170;38;220;295;71;12;154;225;1226;$17000000
Evan Turner;POR;73;2;1605;204;443;11;52;75;106;37;291;283;33;18;114;110;494;$17868852
Frank Jackson;NOP;61;16;1169;194;447;53;169;54;73;25;109;69;25;2;48;92;495;$1378242
Frank Kaminsky;CHO;47;0;755;138;298;50;139;79;107;39;124;63;12;12;41;68;405;$3627842
Frank Mason;SAC;38;0;435;71;169;14;64;39;57;6;37;84;16;4;36;34;195;$1378242
Frank Ntilikina;NYK;43;16;904;95;282;33;115;23;30;12;75;121;30;14;56;104;246;$4155720
Fred VanVleet;TOR;64;28;1760;246;600;112;296;97;115;21;146;307;57;20;82;110;701;$8653847
Furkan Korkmaz;PHI;48;7;679;98;245;47;144;36;44;16;91;52;29;2;25;62;279;$1740000
Garrett Temple;TOT;75;55;2040;208;493;90;264;80;107;28;188;106;76;30;70;204;586;
Garrett Temple;MEM;49;49;1530;166;387;74;210;57;76;18;134;69;50;25;54;134;463;
Garrett Temple;LAC;26;6;510;42;106;16;54;23;31;10;54;37;26;5;16;70;123;$8000000
Gary Clark;HOU;51;2;641;50;151;41;138;7;7;24;92;18;20;26;7;47;148;
Gary Harris;DEN;57;48;1639;270;637;82;242;115;144;41;119;127;55;19;68;113;737;$16517857
Gary Payton;WAS;3;0;16;5;8;1;2;0;0;1;1;4;3;1;1;2;11;$85458
Gary Trent;POR;15;1;111;16;50;5;21;3;7;1;10;5;1;2;4;4;40;$838464
George Hill;MIL;47;0;958;115;269;35;125;53;65;27;94;99;40;7;31;67;318;$19000000
George Hill;TOT;60;13;1302;170;376;48;153;70;85;39;109;135;52;8;51;102;458;
George Hill;CLE;13;13;344;55;107;13;28;17;20;12;15;36;12;1;20;35;140;
George King;PHO;1;0;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
Georges Niang;UTA;59;0;516;86;181;43;105;20;24;11;76;35;10;6;23;57;235;$1512601
Gerald Green;HOU;73;0;1473;231;578;156;441;57;68;30;152;40;33;27;55;126;675;$2393887
Giannis Antetokounmpo;MIL;72;72;2358;721;1247;52;203;500;686;159;739;424;92;110;268;232;1994;$24157304
Glenn Robinson;DET;47;18;610;74;176;18;62;32;40;17;54;21;14;8;18;45;198;$4075000
Goran Dragic;MIA;36;22;991;179;433;57;164;79;101;20;91;174;30;5;71;81;494;$18109175
Gordon Hayward;BOS;72;18;1863;296;635;77;231;156;187;51;271;244;62;23;105;104;825;$31214295
Gorgui Dieng;MIN;76;2;1031;189;377;19;56;88;106;81;230;72;48;41;57;134;485;$15170787
Grayson Allen;UTA;38;2;416;67;178;32;99;45;60;3;20;25;6;6;33;47;211;$2074320
Greg Monroe;TOT;43;2;480;92;189;1;5;45;72;67;105;24;14;8;32;66;230;
Greg Monroe;TOR;38;2;423;74;161;0;4;35;61;60;96;16;13;8;31;61;183;
Greg Monroe;BOS;2;0;5;3;5;0;0;0;0;3;0;1;0;0;0;0;6;$122344
Greg Monroe;PHI;3;0;52;15;23;1;1;10;11;4;9;7;1;0;1;5;41;
Guerschon Yabusele;BOS;41;1;251;35;77;9;28;15;22;23;30;15;8;7;15;32;94;$2667600
Hamidou Diallo;OKC;51;3;526;75;165;4;24;36;59;38;59;17;21;10;23;77;190;$838464
Harrison Barnes;SAC;28;28;949;141;310;53;130;64;80;21;133;53;17;2;30;43;399;$24107258
Harrison Barnes;TOT;77;77;2533;431;1027;174;441;229;278;57;304;115;50;13;98;122;1265;
Harrison Barnes;DAL;49;49;1584;290;717;121;311;165;198;36;171;62;33;11;68;79;866;
Harry Giles;SAC;58;0;820;175;348;0;6;58;91;66;156;85;31;22;73;150;408;$2207040
Hassan Whiteside;MIA;72;53;1674;388;680;2;16;109;243;257;560;56;46;136;97;192;887;$25434263
Haywood Highsmith;PHI;5;0;40;4;10;1;5;0;2;0;5;2;1;0;1;1;9;
Henry Ellenson;TOT;19;0;259;39;95;17;38;19;25;5;61;16;7;2;9;27;114;
Henry Ellenson;DET;2;0;25;4;10;2;4;2;2;0;9;1;0;0;0;2;12;$1857480
Henry Ellenson;NYK;17;0;234;35;85;15;34;17;23;5;52;15;7;2;9;25;102;$341831
Henry Ellenson;NYK;17;0;234;35;85;15;34;17;23;5;52;15;7;2;9;25;102;$85458
Ian Clark;NOP;60;6;973;151;383;66;202;33;37;13;76;94;22;8;58;95;401;$1757429
Ian Mahinmi;WAS;34;6;498;47;104;3;16;42;61;48;80;25;25;16;21;84;139;$15944154
Ike Anigbogu;IND;3;0;6;0;3;0;0;0;0;1;2;1;0;1;1;0;0;$1378242
Iman Shumpert;TOT;62;41;1481;167;446;95;273;36;45;27;156;112;59;24;50;127;465;
Iman Shumpert;SAC;42;40;1099;133;348;74;202;34;41;19;110;91;47;20;38;92;374;
Iman Shumpert;HOU;20;1;382;34;98;21;71;2;4;8;46;21;12;4;12;35;91;$11011234
Isaac Bonga;LAL;22;0;120;5;33;0;8;9;15;9;16;15;9;4;6;9;19;$1000000
Isaac Humphries;ATL;5;1;56;6;21;3;11;0;0;4;7;0;1;0;0;7;15;$47371
